,catid,ra_star,dec_star,r,priority
163,999091701052,355.8713684,-29.7096691,16.4915142,7
164,999091701054,355.1058655,-29.8114185,17.2365265,7
165,999091701085,355.8664246,-29.7271519,16.2696056,7
166,999091701145,355.3151855,-28.5813847,15.7696152,7
167,999091701159,356.1471863,-29.1351471,16.8870506,7
168,999091701170,356.159729,-29.2183533,16.3383503,8
169,999091701177,354.6967163,-28.97262,16.4111767,8
170,999091701223,355.9048462,-29.749567,16.8416538,7
171,999091701241,355.8129883,-28.6601219,14.8727722,7
172,999091701252,354.7203064,-28.89184,15.4704676,7
173,999091701295,354.8128662,-28.7675133,17.1393909,8
174,999091701305,354.704834,-28.8934002,16.8526554,7
175,999091701306,354.8457947,-28.7322788,16.8213902,8
176,999091701312,356.0264282,-28.8040066,16.9113674,7
177,999091701319,355.0497131,-29.8689251,16.050602,7
178,999091701354,354.786438,-28.7665157,15.7966652,7
179,999091701365,355.421814,-28.5207787,17.2166729,8
180,999091701455,355.6496582,-28.5276356,15.905509,7
181,999091701466,354.7457275,-28.7569809,16.6247845,7
182,999091701473,356.0813293,-28.7866402,15.6203184,7
