,catid,surfacedensity,surfacedensity_err,completenesscorrection,areacorrection,surfacedensityflag,surfacedensity_m19,surfacedensity_err_m19,completenesscorrection_m19,areacorrection_m19,surfacedensityflag_m19
69,513018,0.95,0.1172,1.0,1.0,0,0.293,0.0573,1.0,1.0665748,1
70,228428,0.323,0.0515,1.2307693,1.0,0,0.323,0.0515,1.2307693,1.0,0
71,623579,0.537,0.0344,1.0384216,1.0,0,0.537,0.0344,1.0384216,1.0,0
72,371644,nan,nan,nan,nan,9,0.015,0.0024,1.0,1.0,0
73,546071,0.807,0.1304,1.0,1.0,0,0.807,0.1304,1.0,1.0,0
74,22178,0.437,0.0495,1.0357327,1.0124072,1,0.397,0.1459,1.0357327,1.0268005,1
75,622211,0.241,0.0092,1.0,1.0,0,0.241,0.0092,1.0,1.0,0
76,397122,nan,nan,nan,nan,9,0.008,0.0005,1.0714668,1.5965574,1
77,218681,0.096,0.0115,1.0,1.0,0,0.09,0.0125,1.0,1.0,0
78,569965,0.704,0.1311,1.0370218,1.0,0,0.395,0.162,1.0370218,1.0,0
79,301182,2.931,1.9003,1.0,1.0,0,0.859,1.4858,1.0,1.0,0
80,422486,1.938,0.086,1.0400416,1.0126716,1,1.938,0.086,1.0400416,1.0126716,1
81,106387,5.671,4.0379,1.0741138,1.0,0,5.671,4.0379,1.0741138,1.0,0
82,220951,0.338,0.0642,1.0,1.1448535,1,0.338,0.0642,1.0,1.1448535,1
83,422921,0.447,0.053,1.0,1.4432192,1,0.447,0.053,1.0,1.4432192,1
84,543491,0.2,0.0569,1.0,1.5168796,1,0.107,0.0117,1.0,1.6314645,1
85,227428,0.909,0.0989,1.0,1.0,0,0.909,0.0989,1.0,1.0,0
86,65395,0.057,0.0111,1.0,1.1436914,1,0.057,0.0111,1.0,1.1436914,1
87,575423,9.165,4.8526,1.0,1.0,0,3.78,3.5519,1.0,1.0,0
88,619937,0.307,0.1816,1.0454783,1.0,0,0.307,0.1816,1.0454783,1.0,0
89,209214,1.722,0.6257,1.0,1.0,0,1.722,0.6257,1.0,1.0,0
90,214718,3.376,1.0467,1.1764705,1.0,0,3.376,2.0355,1.1764705,1.0,0
91,321034,nan,nan,nan,nan,9,0.007,0.0006,1.0833063,1.1805353,1
92,623747,0.283,0.0138,1.0624734,1.0,0,0.283,0.0138,1.0624734,1.0,0
93,568991,0.75,0.3752,1.0666667,1.0,0,0.291,0.2893,1.0666667,1.0,0
94,137809,0.017,0.0057,1.0357327,1.064554,1,0.017,0.0057,1.0357327,1.064554,1
