target_name,califaid,raj2000,dej2000,redshift,sdss_z,maj_axis,mstar,mstar_min,mstar_max,chi2,vmax_nocorr,vmax_denscorr,magu,err_magu,u_ext,abs_u_min,abs_u_max,magg,err_magg,g_ext,abs_g_min,abs_g_max,magr,err_magr,r_ext,abs_r_min,abs_r_max,magi,err_magi,i_ext,abs_i_min,abs_i_max,magz,err_magz,z_ext,abs_z_min,abs_z_max,hubtyp,minhubtyp,maxhubtyp,bar,flag_release_comb,flag_release_v1200,flag_release_v500,axis_ratio,position_angle,el_hlr,modmag_r
UGC04425,205,127.05992889404297,28.057310104370117,0.0204,0.0198,48.51,10.207,10.094,10.313,1.1997,546000.0,405000.0,15.99503,15.99503,,-19.082,-18.945,14.58008,14.58008,,-20.3,-20.24,14.01503,14.01503,,-20.765,-20.733,13.77351,13.77351,,-21.097,-21.045,13.37926,13.37926,,-21.407,-21.311,S c,S bc,S d,B,1,1,1,0.27936,137.45306,19.008,
UGC04461,208,128.34446716308594,52.53226852416992,0.0174,0.0166,53.41,10.094,9.9905,10.203,0.17501,438000.0,298000.0,15.16256,15.16256,,-19.462,-19.329,14.07774,14.07774,,-20.493,-20.441,13.61058,13.61058,,-20.852,-20.827,13.33317,13.33317,,-21.138,-21.087,13.10997,13.10997,,-21.407,-21.323,S bc,S b,S cd,A,0,0,1,0.30684,47.40142,18.612,
NGC2604,209,128.34640502929688,29.53881072998047,0.0079,0.0069,49.19,9.6594,9.5543,9.7767,0.91579,21600.0,22100.0,13.75987,13.75987,,-19.122,-18.933,12.86225,12.86225,,-20.011,-19.937,12.46461,12.46461,,-20.238,-20.218,12.27395,12.27395,,-20.471,-20.412,12.11521,12.11521,,-20.702,-20.613,S d,S cd,S r,B,1,1,1,0.87594,-9.16515,26.532,
UGC04468,210,128.37818908691406,41.52547073364258,0.0259,0.0248,57.31,11.272,11.062,11.496,0.93262,1450000.0,1660000.0,15.66403,15.66403,,-20.446,-20.01,13.50147,13.50147,,-21.84,-21.669,12.7126,12.7126,,-22.511,-22.432,12.25576,12.25576,,-22.988,-22.833,12.1384,12.1384,,-23.406,-23.162,E 7,E 5,E 0,A,1,1,1,0.48703,-13.65022,30.096,
NGC2623,213,129.60003662109375,25.75452995300293,0.0193,0.0185,55.98,10.447,10.34,10.553,0.25558,694000.0,486000.0,15.073,15.073,,-19.845,-19.714,13.80819,13.80819,,-21.002,-20.95,13.22738,13.22738,,-21.461,-21.431,12.92352,12.92352,,-21.785,-21.734,12.72018,12.72018,,-22.074,-21.986,S cd (M),E 6,E r,AB (A .. B),1,1,1,0.75442,112.84779,10.296,
NGC2638,216,130.60736083984375,37.221038818359375,0.0136,0.0129,61.92,10.748,10.65,10.841,5.3267,319000.0,195000.0,15.42518,15.42518,,-18.852,-18.722,13.56319,13.56319,,-20.426,-20.357,12.86882,12.86882,,-21.14,-21.101,12.30457,12.30457,,-21.592,-21.541,12.11709,12.11709,,-21.984,-21.891,S b,S 0a,S d,A (A .. B),1,1,1,0.4905,64.36939,9.108,
UGC04548,217,130.78143310546875,18.22260093688965,0.0218,0.021,45.52,10.286,10.176,10.395,0.018869,538000.0,514000.0,16.61763,16.61763,,-18.513,-18.378,15.13857,15.13857,,-19.86,-19.814,14.46601,14.46601,,-20.475,-20.436,14.08095,14.08095,,-20.868,-20.817,13.74555,13.74555,,-21.218,-21.118,S bc,S a,S d,AB (A .. B),0,1,0,0.21875,48.60634,13.068,
UGC04550,218,130.81634521484375,13.085800170898438,0.0077,0.0069,71.91,9.5872,9.4834,9.6921,0.23053,77500.0,79600.0,15.29665,15.29665,,-17.524,-17.378,14.2069,14.2069,,-18.668,-18.616,13.60244,13.60244,,-19.149,-19.12,13.22442,13.22442,,-19.487,-19.438,12.96824,12.96824,,-19.788,-19.701,S b,S b,S bc,AB (A .. B),0,1,1,0.23297,4.16932,27.324,
NGC2639,219,130.9086151123047,50.20553970336914,0.0121,0.0109,46.63,11.168,11.069,11.269,0.9971,80300.0,45900.0,13.79068,13.79068,,-20.124,-19.97,12.06048,12.06048,,-21.62,-21.561,11.31898,11.31898,,-22.328,-22.286,10.87785,10.87785,,-22.758,-22.703,10.62212,10.62212,,-23.13,-23.029,S a,S a,S b,A (A .. AB),1,1,1,0.5091,-45.82655,17.424,
UGC04546,220,130.96388244628906,51.9911994934082,0.0182,0.0174,47.42,10.751,10.669,10.846,2.3667,348000.0,238000.0,16.46104,16.46104,,-18.4,-18.272,14.55766,14.55766,,-20.053,-19.999,13.68953,13.68953,,-20.858,-20.821,13.23284,13.23284,,-21.34,-21.289,12.94334,12.94334,,-21.751,-21.659,S a,S a,S ab,AB (A .. B),0,0,1,0.41777,21.96788,6.732,
