#####################################################################
# This is Table 4 from the paper McDermid et. al (2015)
# "The Atlas3D project -- XXX.  Star formation histories and stellar 
#  population scaling relations of early-type galaxies 
#
# Table title: Mass-weighted stellar population properties
#              measured within Re
#
# Column descriptions:
#  (1) Galaxy name.
#  (2) Mass-weighted age.
#  (3) Mass-weighted metallicity.
#  (4) Half-mass formation time.
#
#####################################################################
#   Name    |     Age_SHF     |     [Z/H]_SFH    |       t50        |
#           |       Gyr       |                  |       Gyr        |
#   (1)     |       (2)       |        (3)       |       (4)        |
#####################################################################
   NGC3499     6.18 +/- 1.19     -0.42 +/- 0.06      7.78 +/- 1.19
   NGC3522    11.48 +/- 0.83     -0.48 +/- 0.04      2.47 +/- 0.83
   NGC3530    12.30 +/- 0.77     -0.33 +/- 0.01      1.80 +/- 0.77
   NGC3595    12.54 +/- 0.81     -0.22 +/- 0.02      1.62 +/- 0.81
   NGC3599     7.02 +/- 1.22     -0.26 +/- 0.03      6.29 +/- 1.22
   NGC3605     8.06 +/- 0.77     -0.20 +/- 0.04      5.38 +/- 0.77
   NGC3607    13.48 +/- 0.69     -0.10 +/- 0.02      0.81 +/- 0.69
   NGC3608    13.03 +/- 0.69     -0.09 +/- 0.02      1.16 +/- 0.69
   NGC3610     6.47 +/- 0.46     -0.24 +/- 0.03      8.04 +/- 0.46
   NGC3613    13.02 +/- 0.70     -0.13 +/- 0.01      1.18 +/- 0.70
   NGC3619    10.89 +/- 0.69     -0.20 +/- 0.02      2.94 +/- 0.69
   NGC3626     3.66 +/- 0.45     -0.09 +/- 0.04      9.91 +/- 0.45
   NGC3630    12.98 +/- 0.68     -0.18 +/- 0.02      1.21 +/- 0.68
   NGC3640    11.98 +/- 0.71     -0.18 +/- 0.01      2.02 +/- 0.71
   NGC3641    13.25 +/- 0.66     -0.24 +/- 0.03      1.00 +/- 0.66
   NGC3648    13.24 +/- 0.66     -0.10 +/- 0.02      1.02 +/- 0.66
   NGC3658    11.36 +/- 0.73     -0.12 +/- 0.04      2.49 +/- 0.73
   NGC3665    13.16 +/- 0.75     -0.15 +/- 0.02      1.07 +/- 0.75
   NGC3674    13.76 +/- 0.69     -0.08 +/- 0.02      0.67 +/- 0.69
   NGC3694     6.46 +/- 0.76     -0.38 +/- 0.07      6.77 +/- 0.76
   NGC3757    11.76 +/- 0.68     -0.23 +/- 0.02      2.26 +/- 0.68
   NGC3796     6.41 +/- 0.71     -0.52 +/- 0.06      7.05 +/- 0.71
   NGC3838    11.72 +/- 0.66     -0.30 +/- 0.03      2.36 +/- 0.66
   NGC3941     9.66 +/- 0.62     -0.15 +/- 0.03      3.99 +/- 0.62
   NGC3945    12.12 +/- 0.69     -0.06 +/- 0.02      1.92 +/- 0.69
   NGC3998    13.68 +/- 0.74     -0.04 +/- 0.02      0.72 +/- 0.74
   NGC4026    13.51 +/- 0.71     -0.24 +/- 0.01      0.80 +/- 0.71
   NGC4036    13.10 +/- 0.70     -0.13 +/- 0.03      1.09 +/- 0.70
   NGC4078    13.03 +/- 0.68     -0.21 +/- 0.02      1.16 +/- 0.68
   NGC4111     5.98 +/- 0.77     -0.07 +/- 0.04      8.20 +/- 0.77
   NGC4119     7.12 +/- 0.73     -0.41 +/- 0.07      6.21 +/- 0.73
   NGC4143    13.73 +/- 0.74     -0.07 +/- 0.02      0.70 +/- 0.74
   NGC4150     4.63 +/- 0.72     -0.28 +/- 0.04      9.04 +/- 0.72
   NGC4168    11.26 +/- 0.78     -0.17 +/- 0.02      2.65 +/- 0.78
   NGC4179    13.26 +/- 0.70     -0.13 +/- 0.02      0.99 +/- 0.70
   NGC4191     9.85 +/- 0.75     -0.23 +/- 0.03      3.83 +/- 0.75
   NGC4203    13.59 +/- 0.74     -0.12 +/- 0.02      0.78 +/- 0.74
   NGC4215    10.92 +/- 0.78     -0.23 +/- 0.03      2.91 +/- 0.78
   NGC4233    12.35 +/- 0.70     -0.08 +/- 0.03      1.76 +/- 0.70
   NGC4249     8.50 +/- 0.74     -0.24 +/- 0.03      4.98 +/- 0.74
   NGC4251     9.50 +/- 0.65     -0.22 +/- 0.02      3.36 +/- 0.65
   NGC4255    12.91 +/- 0.70     -0.19 +/- 0.02      1.27 +/- 0.70
   NGC4259    11.29 +/- 0.81     -0.19 +/- 0.02      2.63 +/- 0.81
   NGC4261    13.07 +/- 0.78      0.09 +/- 0.02      1.15 +/- 0.78
   NGC4262    13.88 +/- 0.70     -0.16 +/- 0.02      0.58 +/- 0.70
   NGC4264     9.12 +/- 0.59     -0.21 +/- 0.02      4.72 +/- 0.59
   NGC4267    13.25 +/- 0.73     -0.11 +/- 0.02      1.02 +/- 0.73
