###########################################################################################
# Best fitting anisotropy of the self-consistent JAM Models (A) presented in
# Cappellari et. al (2013a, MNRAS) http://adsabs.harvard.edu/abs/2013MNRAS.432.1709C
# "The Atlas3D project XV. Benchmark for early-type galaxies scaling relations from 260 
#  dynamical models: mass-to-light ratio, dark matter, Fundamental Plane and Mass Plane"
#
# Columns (2) and (5) below are copied from Table 1 of the above paper.
#
# The anisotropies given below were published in Figure 9b and 11 of 
# Cappellari (2016, ARA&A) http://adsabs.harvard.edu/abs/2016ARA%26A..54..597C
#
#                     ****VERY IMPORTANT***
#
# Due to the inclination-anisotropy degeneracy discussed in 
# Cappellari (2008, MNRAS) http://adsabs.harvard.edu/abs/2008MNRAS.390...71C, 
# and the effect of bars, the anisotropy below is only meanigful when the
# galaxies are close to edge-on and the quality of the fits is acceptable.
# For this reason, one should only use the anistropy for galaxies with
#
#             OK_anisotropy ---> (inc > 60) AND (quality > 0)
#
# The fitted anisotropy for the other galaxies is provided for completeness.
#
# For the good models, typical errors in anisotropy are around 0.05 (1sigma).
# But the errors are dominated by systematics, which are difficult to quantify.
#  
####################################################
#   Galaxy   |   inc  | beta_z |  kappa | quality  |
#            |  (deg) |        |        |          |
#     (1)    |   (2)  |   (3)  |   (4)  |    (5)   |
####################################################
     NGC4429       70     0.35     1.20        0
     NGC4434       43     0.00     1.16        1
     NGC4435       68     0.12     1.11        3
     NGC4442       72     0.16     0.91        3
     NGC4452       88     0.16     0.77        3
     NGC4458       84     0.04     0.17        1
     NGC4459       48     0.00     1.11        1
     NGC4461       71     0.00     0.91        3
     NGC4472       43     0.14     0.50        1
     NGC4473       81     0.00     0.06        2
     NGC4474       89     0.00     0.83        2
     NGC4476       88     0.13     0.51        0
     NGC4477       27     0.35     0.78        1
     NGC4478       41     0.47     1.30        3
     NGC4483       70     0.00     0.93        1
     NGC4486       84     0.00     0.03        2
    NGC4486A       42     0.04     1.00        1
     NGC4489       87     0.00     0.81        0
     NGC4494       86     0.76     1.16        1
     NGC4503       67     0.22     1.02        3
     NGC4521       90     0.02     1.03        3
     NGC4526       77     0.07     0.96        1
     NGC4528       57     0.00     0.26        2
     NGC4546       69     0.00     0.99        3
     NGC4550       81     0.00     0.69        3
     NGC4551       63     0.25     0.94        2
     NGC4552       90     0.02     0.50        2
     NGC4564       76     0.03     0.94        3
     NGC4570       88     0.08     0.96        3
     NGC4578       48     0.00     0.95        1
     NGC4596       37     0.32     1.00        2
     NGC4608       26     0.16     1.64        2
     NGC4612       58     0.00     0.98        0
     NGC4621       88     0.05     0.72        3
     NGC4623       89     0.00     0.91        1
     NGC4624       27     0.00     1.59        1
     NGC4636       89     0.07     0.30        0
     NGC4638       78     0.22     1.08        3
     NGC4643       25     0.20     2.39        2
     NGC4649       47     0.02     0.58        2
     NGC4660       74     0.14     0.89        2
     NGC4684       75     0.20     0.95        2
     NGC4690       51     0.29     0.43        1
     NGC4694       69     0.55     0.66        0
     NGC4697       70     0.29     0.95        3
     NGC4710       88     0.19     1.06        1
     NGC4733       88     0.02     0.20        0
     NGC4753       58     0.00     1.16        1
     NGC4754       60     0.00     0.93        2
     NGC4762       90     0.00     0.96        3
     NGC4803       89     0.00     0.24        0
     NGC5103       90     0.00     0.96        0
     NGC5173       44     0.00     0.40        0
     NGC5198       35     0.35     0.24        1
     NGC5273       35     0.00     1.09        1
     NGC5308       86     0.12     0.98        3
     NGC5322       90     0.18     0.03        1
     NGC5342       74     0.22     1.00        0
     NGC5353       80     0.00     0.99        2
     NGC5355       69     0.00     0.85        0
     NGC5358       81     0.00     0.89        0
     NGC5379       89     0.78     1.16        1
     NGC5422       90     0.00     0.99        1
     NGC5473       39     0.00     1.04        0
     NGC5475       79     0.00     0.98        2
     NGC5481       53     0.02     0.06        0
     NGC5485       87     0.11     0.09        0
     NGC5493       76     0.00     1.03        3
     NGC5500       88     0.03     0.45        0
     NGC5507       63     0.00     1.06        3
     NGC5557       88     0.05     0.10        1
     NGC5574       89     0.33     1.07        0
     NGC5576       62     0.29     0.28        2
     NGC5582       55     0.00     0.94        1
     NGC5611       74     0.09     0.94        3
     NGC5631       87     0.46     0.45        0
     NGC5638       66     0.00     1.28        0
     NGC5687       87     0.02     0.95        1
     NGC5770       26     0.00     1.92        0
     NGC5813       89     0.01     0.27        0
     NGC5831       86     0.06     0.11        0
     NGC5838       70     0.00     1.05        3
     NGC5839       88     0.00     1.35        0
     NGC5845       63     0.10     1.04        3
     NGC5846       89     0.00     0.02        1
     NGC5854       74     0.00     0.96        3
     NGC5864       74     0.37     1.01        3
     NGC5866       76     0.46     0.85        0
     NGC5869       80     0.00     0.99        1
     NGC6010       90     0.00     0.93        1
     NGC6014       32     0.00     1.30        0
     NGC6017       74     0.41     1.02        1
     NGC6149       66     0.00     1.00        0
     NGC6278       66     0.14     0.97        0
     NGC6547       84     0.08     0.90        1
     NGC6548       19     0.00     0.90        1
     NGC6703       18     0.28     0.24        1
     NGC6798       84     0.18     0.68        2
     NGC7280       58     0.00     0.87        1
     NGC7332       84     0.11     0.93        1
     NGC7454       88     0.00     0.38        0
     NGC7457       74     0.00     0.98        1
     NGC7465       88     0.10     0.49        0
     NGC7693       42     0.26     1.10        1
     NGC7710       77     0.32     0.55        1
   PGC016060       77     0.09     0.95        2
   PGC028887       90     0.13     0.52        0
   PGC029321       32     0.00     0.77        0
   PGC035754       58     0.08     0.48        1
   PGC042549       54     0.01     0.88        1
   PGC044433       89     0.29     1.14        1
   PGC050395       86     0.00     0.03        0
   PGC051753       89     0.00     0.89        1
   PGC054452       41     0.42     0.98        1
