##########################################################################################################################################
# This table combines information from Table C1 of Krajnovic et al. (2013, MNRAS, 433, 2812) and Table 2 of Krajnovic et al. (2020, A&A)
# Information about the meaning of the columns follows Table C1 of Krajnovic et al. (2013). When using the information from the full table
# please refer to both papers. 
#
# Sources: a - Ferrarese et al. (2006), b1 - Lauer et al. (2005), b2 - Rest et al. (2001), b3 - Ravindranath et al. (2004), 
#          b4 - Quillen et al. (2000), c - Krajnovic et al. (2013) based on ACS archival imaging, 
#          d - Krajnovic et al. (2013) based on WFPC2/PC archival imaging, e - Krajnovic et al. (2020) based on WFC3 imaging.
#
# Note: negative values in columns 12 and 13 indicated upper limits (e.g. -0.10 --> <0.10)
#
# Table title: Fitting parameters for Atlas3D galaxies
##########################################################################################################################################
# Galaxy | Source | Class |  Filter |     Rb   |     mu   |   alpha  |    beta   |    gamma  |    gamma' |    RMS  |    Rgamma |  Rgamma |  
#        |        |       |         | (arcsec) |          |          |           |           |           |         |  (arcsec) |   (pc)  |
#    (1) |  (2)   |  (3)  |   (4)   |    (5)   |    (6)   |    (7)   |    (8)    |    (9)    |    (10)   |   (11)  |    (12)   |   (13)  | 
##########################################################################################################################################
   NGC3458   d        3    F606W       1.73      18.06       1.40       2.40        0.56        0.59       0.02      -0.10       -14.98   
   NGC3489   c        3    F814W       0.41      14.00       0.64       4.84       -1.17        0.57       0.05       0.09         5.23   
   NGC3499   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC3522   e        3    F814W       1.03      16.56       1.25       1.66        0.85        0.89       0.05      -0.10       -12.36   
   NGC3530   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC3595  b2        3        -       2.30      18.04       2.30       1.52        0.75        0.76          -      -0.10       -16.82   
   NGC3599  b1        3        -       1.25      17.45      50.00       1.45        0.75        0.75          -       0.04         3.84   
   NGC3605  b1        3        -       0.97      17.21       2.40       1.27        0.59        0.60          -       0.04         3.90   
   NGC3607   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC3608  b1        1        -       0.48      15.73       0.90       1.50        0.09        0.17          -       0.18        19.27   
   NGC3610  b1        3        -       2.84      16.39      48.50       1.86        0.76        0.76          -       0.02         2.02   
   NGC3613   d        1    F702W       0.33      15.80       1.65       1.10        0.01        0.14       0.01       0.29        40.05   
   NGC3619   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC3626   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC3630   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC3640   d        2    F555W       4.05      18.00       1.12       2.17        0.46        0.48       0.01       0.14        18.45   
   NGC3641   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC3648   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC3658   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC3665   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC3674   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC3694   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC3757   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC3796   d        3    F814W       0.20      14.00       3.24       1.48        0.66        0.74       0.01      -0.10       -11.01   
   NGC3838   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC3941   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC3945  b1        3        -       7.38      18.62       0.30       2.56       -0.06        0.57          -       0.10        10.80   
   NGC3998   c        2    F814W       0.28      14.00       2.77       6.32        0.15        0.49       0.03       0.10         6.74   
   NGC4026  b1        3        -       0.63      15.23       0.40       1.78        0.15        0.65          -       0.02         1.58   
   NGC4036   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4078   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4111   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4119   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4143  b3        3        -       3.11      17.11       1.30       2.18        0.59        0.61          -      -0.10        -7.51   
   NGC4150  b3        3        -       0.63      15.80       1.20       1.67        0.58        0.68          -      -0.10        -6.50   
   NGC4168  b2        1        -       2.02      18.06       1.40       1.39        0.17        0.17          -       0.99       148.98   
   NGC4179   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4191   e        3    F814W       0.31      15.27       2.34       1.30        0.48        0.53       0.04      -0.10       -19.00   
   NGC4203   d        3    F555W       4.52      19.13       1.61       2.56        0.73        0.74       0.07      -0.10        -7.13   
   NGC4215   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4233   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4249   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4251   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4255   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4259   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4261  b3        1        -       1.62      16.43       2.40       1.43        0.00        0.00          -       1.25       186.79   
   NGC4262   a        3    F475W       2.59      17.07       5.00       1.96        0.76        0.76       0.03      -0.10        -7.47   
   NGC4264   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4267   a        3    F475W       2.97      17.52       2.29       1.90        0.71        0.71       0.01      -0.10        -7.66   
   NGC4268   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4270   d        2    F606W       0.73      17.48       2.21       1.29        0.43        0.44       0.02       0.24        41.61   
   NGC4278  b1        1        -       1.26      16.20       1.40       1.46        0.06        0.10          -       0.72        54.58   
   NGC4281   d        3    F606W       0.09      15.23       3.59       0.89        0.06        0.56       0.01       0.09        11.01   
   NGC4283   c        3    F475W       4.81      19.44       2.32       2.35        0.80        0.80       0.04      -0.10        -7.42   
   NGC4324   -        -        -          -          -          -          -           -           -          -          -            -   
   NGC4339   d        3    F606W      23.29      24.00       1.08       5.93        0.80        0.81       0.03      -0.10        -7.76   
   NGC4340   a        3    F475W       1.91      17.45       4.27       1.44        0.68        0.68       0.03      -0.10        -8.92   
   NGC4342   d        3    F555W       8.38      24.00       0.56       8.53       -0.12        0.55       0.02       0.09         6.92   
   NGC4346   -        -        -          -          -          -          -           -           -          -          -            -   
