###########################################################################
# This is Table B1 from Krajnovic et al. 2020, A&A, 
# "Formation channels of slowly rotating early-type galaxies"
############################################################################
# Table Title: Metalicity and Age gradients of the ATLAS3D Sample
#
# Note: Columns (6) and (7), providing the alpha elements gradients and errors
# do not appear in the paper.
#
# Note: galaxies NGC4268 and PGC170172 do not have measured values. 
#
#Galaxy     D[Z/H]   er_D[Z/H]   DAge     er_DAge    Dalpha  er_Dalpah  HST
# (1)         (2)      (3)       (4)       (5)        (6)      (7)      (8)
############################################################################
NGC3694      0.104     0.114     0.549     0.108    -0.203     0.035     0   
NGC3757     -0.468     0.083    -0.059     0.107    -0.057     0.016     0   
NGC3796     -0.555     0.063     0.582     0.032     0.298     0.032     1   
NGC3838     -0.311     0.034    -0.127     0.048     0.113     0.016     0   
NGC3941     -0.331     0.034     0.231     0.035     0.017     0.013     0   
NGC3945     -0.280     0.055     0.159     0.056     0.113     0.031     1   
NGC3998     -0.318     0.038     0.251     0.032    -0.008     0.037     1   
NGC4026     -0.334     0.042     0.164     0.037     0.200     0.019     1   
NGC4036     -0.276     0.040     0.133     0.059    -0.067     0.025     0   
NGC4078     -0.514     0.021     0.170     0.041     0.162     0.033     0   
NGC4111     -0.419     0.027     0.187     0.016    -0.000     0.018     1   
NGC4119     -0.539     0.038     0.635     0.053     0.039     0.018     0   
NGC4143     -0.443     0.027     0.202     0.028     0.107     0.016     1   
NGC4150     -0.364     0.029     0.604     0.038     0.010     0.019     1   
NGC4168     -0.322     0.023     0.169     0.027    -0.041     0.012     1   
NGC4179     -0.535     0.041     0.235     0.038     0.235     0.016     0   
NGC4191     -0.342     0.077    -0.334     0.110    -0.049     0.043     1   
NGC4203     -0.489     0.022     0.208     0.034     0.037     0.013     1   
NGC4215     -0.445     0.031     0.251     0.037     0.105     0.033     0   
NGC4233     -0.364     0.045     0.187     0.060    -0.007     0.017     1   
NGC4249     -0.288     0.121     0.194     0.151    -0.246     0.043     0   
NGC4251     -0.348     0.039     0.297     0.031     0.114     0.013     0   
NGC4255     -0.503     0.048     0.374     0.045     0.006     0.011     0   
NGC4259     -0.719     0.049     0.304     0.048     0.025     0.020     0   
NGC4261     -0.184     0.022    -0.019     0.020     0.016     0.032     1   
NGC4262     -0.526     0.044     0.189     0.034     0.027     0.014     1   
NGC4264     -0.190     0.057     0.000     0.055     0.007     0.016     0   
NGC4267     -0.359     0.014     0.019     0.020     0.125     0.020     1   
NGC4268      0.000     0.000     0.000     0.000     0.000     0.000     0   
NGC4270     -0.117     0.056    -0.029     0.050     0.088     0.031     1   
NGC4278     -0.053     0.018    -0.292     0.032    -0.075     0.028     1   
NGC4281     -0.280     0.041     0.135     0.035     0.013     0.023     1   
NGC4283     -0.267     0.040     0.107     0.052    -0.103     0.029     1   
NGC4324     -0.332     0.037    -0.166     0.096     0.144     0.021     0   
NGC4339     -0.444     0.061     0.192     0.057     0.024     0.083     1   
