id,ra,dec,survey,filename,exptime,manga_id,manga_plateifu,sami_catid,sami_cubeidpub,califa_id,califa_name,califa_cube,atlas_name,fov_fits
5543,181.59506225585938,1.472097396850586,sami,220437_A_cube_blue,19800.0,,,220437,220437_A,,,,,"{{181.598529,1.468625},{181.598529,1.475570},{181.591582,1.475570},{181.591582,1.468625}}"
5544,10.771929740905762,-9.425736427307129,sami,9008500394_A_cube_blue,11900.0,,,9008500394,9008500394_A,,,,,"{{10.775449,-9.429209},{10.775449,-9.422264},{10.768410,-9.422264},{10.768410,-9.429209}}"
5545,180.3817596435547,1.2959303855895996,sami,272667_A_cube_blue,11900.0,,,272667,272667_A,,,,,"{{180.385237,1.292458},{180.385237,1.299403},{180.378290,1.299403},{180.378290,1.292458}}"
5546,140.0915069580078,0.8234584331512451,sami,623726_A_cube_blue,12600.0,,,623726,623726_A,,,,,"{{140.094986,0.819986},{140.094986,0.826931},{140.088041,0.826931},{140.088041,0.819986}}"
5547,138.7616424560547,1.445319414138794,sami,302657_A_cube_blue,10500.0,,,302657,302657_A,,,,,"{{138.765112,1.441847},{138.765112,1.448792},{138.758165,1.448792},{138.758165,1.441847}}"
5548,182.1873016357422,-1.89495849609375,sami,178865_A_cube_blue,12600.0,,,178865,178865_A,,,,,"{{182.190780,-1.898431},{182.190780,-1.891486},{182.183831,-1.891486},{182.183831,-1.898431}}"
5549,13.91943073272705,-1.3120695352554321,sami,9011900147_A_cube_blue,12600.0,,,9011900147,9011900147_A,,,,,"{{13.922904,-1.315542},{13.922904,-1.308597},{13.915957,-1.308597},{13.915957,-1.315542}}"
5550,220.03713989257812,0.9075974225997925,sami,107454_A_cube_blue,12250.0,,,107454,107454_A,,,,,"{{220.040611,0.904125},{220.040611,0.911070},{220.033666,0.911070},{220.033666,0.904125}}"
5551,216.9318084716797,-1.5869585275650024,sami,508416_A_cube_blue,12600.0,,,508416,508416_A,,,,,"{{216.935279,-1.590431},{216.935279,-1.583486},{216.928332,-1.583486},{216.928332,-1.590431}}"
5552,18.541889190673828,0.201791450381279,sami,9016800321_A_cube_blue,24875.0,,,9016800321,9016800321_A,,,,,"{{18.545361,0.198319},{18.545361,0.205264},{18.538416,0.205264},{18.538416,0.198319}}"
5553,139.65859985351562,1.0570133924484253,sami,279840_A_cube_blue,21600.0,,,279840,279840_A,,,,,"{{139.662070,1.053541},{139.662070,1.060486},{139.655125,1.060486},{139.655125,1.053541}}"
5554,130.00071716308594,1.302152395248413,sami,375610_A_cube_blue,12600.0,,,375610,375610_A,,,,,"{{130.004196,1.298680},{130.004196,1.305625},{129.997249,1.305625},{129.997249,1.298680}}"
5555,14.090930938720703,-1.4493745565414429,sami,9011900201_A_cube_blue,11900.0,,,9011900201,9011900201_A,,,,,"{{14.094404,-1.452847},{14.094404,-1.445902},{14.087457,-1.445902},{14.087457,-1.452847}}"
5556,329.404052734375,-7.820513725280762,sami,9239900011_A_cube_blue,12000.0,,,9239900011,9239900011_A,,,,,"{{329.407560,-7.823986},{329.407560,-7.817041},{329.400550,-7.817041},{329.400550,-7.823986}}"
5557,222.8015899658203,-0.4568195641040802,sami,570227_A_cube_blue,12600.0,,,570227,570227_A,,,,,"{{222.805070,-0.460292},{222.805070,-0.453347},{222.798125,-0.453347},{222.798125,-0.460292}}"
5558,355.23516845703125,-29.137737274169922,sami,9091700111_A_cube_blue,12600.0,,,9091700111,9091700111_A,,,,,"{{355.239146,-29.141209},{355.239146,-29.134264},{355.231195,-29.134264},{355.231195,-29.141209}}"
5559,217.9021453857422,-1.5924025774002075,sami,508680_A_cube_blue,12000.0,,,508680,508680_A,,,,,"{{217.905612,-1.595875},{217.905612,-1.588930},{217.898665,-1.588930},{217.898665,-1.595875}}"
5560,14.214513778686523,-1.2724305391311646,sami,9011900138_A_cube_blue,12600.0,,,9011900138,9011900138_A,,,,,"{{14.217987,-1.275903},{14.217987,-1.268958},{14.211040,-1.268958},{14.211040,-1.275903}}"
5561,180.89622497558594,-0.04029155522584915,sami,585035_A_cube_blue,10500.0,,,585035,585035_A,,,,,"{{180.899695,-0.043764},{180.899695,-0.036819},{180.892750,-0.036819},{180.892750,-0.043764}}"
5562,217.04171752929688,-1.67673659324646,sami,508412_A_cube_blue,12600.0,,,508412,508412_A,,,,,"{{217.045196,-1.680209},{217.045196,-1.673264},{217.038249,-1.673264},{217.038249,-1.680209}}"
5563,14.189888954162598,-0.6753475666046143,sami,9011900859_A_cube_blue,12600.0,,,9011900859,9011900859_A,,,,,"{{14.193361,-0.678820},{14.193361,-0.671875},{14.186416,-0.671875},{14.186416,-0.678820}}"
5564,132.18417358398438,0.1685694456100464,sami,209185_A_cube_blue,10500.0,,,209185,209185_A,,,,,"{{132.187653,0.165097},{132.187653,0.172042},{132.180708,0.172042},{132.180708,0.165097}}"
5565,222.74197387695312,0.09186504036188126,sami,79710_A_cube_blue,12600.0,,,79710,79710_A,,,,,"{{222.745439,0.088393},{222.745439,0.095337},{222.738495,0.095337},{222.738495,0.088393}}"
5566,212.4006805419922,-1.432708501815796,sami,491552_A_cube_blue,10800.0,,,491552,491552_A,,,,,"{{212.404154,-1.436181},{212.404154,-1.429236},{212.397207,-1.429236},{212.397207,-1.436181}}"
5567,14.45301342010498,-1.0039865970611572,sami,9011900609_A_cube_blue,12600.0,,,9011900609,9011900609_A,,,,,"{{14.456486,-1.007459},{14.456486,-1.000514},{14.449541,-1.000514},{14.449541,-1.007459}}"
5568,356.78533935546875,-28.248319625854492,sami,9403800135_A_cube_blue,12100.0,,,9403800135,9403800135_A,,,,,"{{356.789280,-28.251792},{356.789280,-28.244847},{356.781397,-28.244847},{356.781396,-28.251792}}"
5569,132.84010314941406,-0.395097553730011,sami,203148_A_cube_blue,12600.0,,,203148,203148_A,,,,,"{{132.843570,-0.398570},{132.843570,-0.391625},{132.836625,-0.391625},{132.836625,-0.398570}}"
5570,140.95001220703125,2.1128194332122803,sami,383318_A_cube_blue,14400.0,,,383318,383318_A,,,,,"{{140.953488,2.109347},{140.953488,2.116292},{140.946539,2.116292},{140.946539,2.109347}}"
5571,14.004347801208496,-1.2390695810317993,sami,9011900038_A_cube_blue,21450.0,,,9011900038,9011900038_A,,,,,"{{14.007821,-1.242542},{14.007821,-1.235597},{14.000875,-1.235597},{14.000875,-1.242542}}"
5572,14.004347801208496,-1.2390695810317993,sami,9011900038_B_cube_blue,17850.0,,,9011900038,9011900038_B,,,,,"{{14.007821,-1.242542},{14.007821,-1.235597},{14.000875,-1.235597},{14.000875,-1.242542}}"
5573,216.69271850585938,-1.1188195943832397,sami,511923_A_cube_blue,12300.0,,,511923,511923_A,,,,,"{{216.696195,-1.122292},{216.696195,-1.115347},{216.689250,-1.115347},{216.689250,-1.122292}}"
5574,181.6640625,1.2843194007873535,sami,272995_A_cube_blue,10500.0,,,272995,272995_A,,,,,"{{181.667529,1.280847},{181.667529,1.287792},{181.660582,1.287792},{181.660582,1.280847}}"
5575,179.75909423828125,-1.3130135536193848,sami,144335_A_cube_blue,12600.0,,,144335,144335_A,,,,,"{{179.762571,-1.316486},{179.762571,-1.309541},{179.755624,-1.309541},{179.755624,-1.316486}}"
5576,181.09255981445312,-1.203513503074646,sami,31725_A_cube_blue,14400.0,,,31725,31725_A,,,,,"{{181.096029,-1.206986},{181.096029,-1.200041},{181.089083,-1.200041},{181.089083,-1.206986}}"
5577,214.56964111328125,0.9863194227218628,sami,106047_A_cube_blue,12600.0,,,106047,106047_A,,,,,"{{214.573111,0.982847},{214.573111,0.989792},{214.566166,0.989792},{214.566166,0.982847}}"
5578,135.207763671875,2.890763521194458,sami,423416_A_cube_blue,11550.0,,,423416,423416_A,,,,,"{{135.211240,2.887291},{135.211240,2.894236},{135.204287,2.894236},{135.204287,2.887291}}"
5579,217.74359130859375,-0.3029865622520447,sami,63997_A_cube_blue,12600.0,,,63997,63997_A,,,,,"{{217.747070,-0.306459},{217.747070,-0.299514},{217.740125,-0.299514},{217.740125,-0.306459}}"
5580,130.9627685546875,2.713930368423462,sami,422436_A_cube_blue,12600.0,,,422436,422436_A,,,,,"{{130.966240,2.710458},{130.966240,2.717403},{130.959287,2.717403},{130.959287,2.710458}}"
5581,129.02655029296875,1.3064584732055664,sami,375402_A_cube_blue,12600.0,,,375402,375402_A,,,,,"{{129.030029,1.302986},{129.030029,1.309931},{129.023082,1.309931},{129.023082,1.302986}}"
5582,212.41806030273438,-0.6557085514068604,sami,47342_A_cube_blue,12600.0,,,47342,47342_A,,,,,"{{212.421528,-0.659181},{212.421528,-0.652236},{212.414583,-0.652236},{212.414583,-0.659181}}"
5583,14.436972618103027,-0.7459025382995605,sami,9011900934_A_cube_blue,12600.0,,,9011900934,9011900934_A,,,,,"{{14.440445,-0.749375},{14.440445,-0.742430},{14.433500,-0.742430},{14.433500,-0.749375}}"
5584,222.83071899414062,-0.4197915494441986,sami,570233_A_cube_blue,12600.0,,,570233,570233_A,,,,,"{{222.834195,-0.423264},{222.834195,-0.416319},{222.827250,-0.416319},{222.827250,-0.423264}}"
5585,329.13958740234375,-7.734319686889648,sami,9239900246_A_cube_blue,12600.0,,,9239900246,9239900246_A,,,,,"{{329.143101,-7.737792},{329.143101,-7.730847},{329.136093,-7.730847},{329.136093,-7.737792}}"
5586,214.202392578125,1.7597084045410156,sami,238406_A_cube_blue,12848.0,,,238406,238406_A,,,,,"{{214.205862,1.756236},{214.205862,1.763181},{214.198915,1.763181},{214.198915,1.756236}}"
5587,217.7317657470703,-1.7517915964126587,sami,485882_A_cube_blue,12000.0,,,485882,485882_A,,,,,"{{217.735237,-1.755264},{217.735237,-1.748319},{217.728290,-1.748319},{217.728290,-1.755264}}"
5588,137.33392333984375,1.6143754720687866,sami,377348_A_cube_blue,10500.0,,,377348,377348_A,,,,,"{{137.337404,1.610903},{137.337404,1.617848},{137.330457,1.617848},{137.330457,1.610903}}"
5589,217.534423828125,0.7035694718360901,sami,16026_A_cube_blue,12600.0,,,16026,16026_A,,,,,"{{217.537903,0.700097},{217.537903,0.707042},{217.530958,0.707042},{217.530958,0.700097}}"
5590,180.63397216796875,-0.38907426595687866,sami,55160_A_cube_blue,10500.0,,,55160,55160_A,,,,,"{{180.637438,-0.392546},{180.637438,-0.385602},{180.630494,-0.385602},{180.630494,-0.392546}}"
5591,212.54689025878906,0.8659024238586426,sami,105573_A_cube_blue,10800.0,,,105573,105573_A,,,,,"{{212.550361,0.862430},{212.550361,0.869375},{212.543416,0.869375},{212.543416,0.862430}}"
